Date,Usage,Temperature,Event_Start,Event_End,Attendance,Total_sq_ft,Hall_A,Meeting_Room_A,Main_Room,Hall_B,Meeting_Room_B,Hall_C,Meeting_Room_C,Hall_D,Meeting_Room_D,Terrace,Parking
1/5/18,137305.008,55.0625,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6/18,152705.016,56.25,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1/7/18,179891.784,55.22916667,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1/8/18,211425.84,52.20833333,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1/9/18,284379.12,48.73958333,1/9/18,1/12/18,175000,2184344,1,1,1,1,1,1,1,0,0,0,1
1/10/18,262896.644,51.8125,1/9/18,1/12/18,175000,2184344,1,1,1,1,1,1,1,0,0,0,1
1/11/18,260300.16,52.54166667,1/9/18,1/12/18,175000,2184344,1,1,1,1,1,1,1,0,0,0,1
1/12/18,230475.96,52.875,1/9/18,1/12/18,175000,2184344,1,1,1,1,1,1,1,0,0,0,1
1/13/18,124016.976,54.72916667,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1/14/18,68351.827,55.25,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1/15/18,95603.256,56.66666667,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1/16/18,94704.984,55.6875,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1/17/18,96858.36,55.75,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1/18/18,96429.6,56.25,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1/19/18,87730.366,59.16666667,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1/20/18,94403.787,49.95833333,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1/21/18,89975.952,46.47916667,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1/22/18,113184.648,45.22916667,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1/23/18,153233.136,48.60416667,1/23/18,1/25/18,4000,344793,0,0,0,0,0,1,1,0,0,0,0
1/23/18,153233.136,48.60416667,1/23/18,1/26/18,60000,1672216,1,1,1,1,1,1,1,0,0,0,1
1/24/18,142985.018,49.52083333,1/23/18,1/25/18,4000,344793,0,0,0,0,0,1,1,0,0,0,0
1/24/18,142985.018,49.52083333,1/23/18,1/26/18,60000,1672216,1,1,1,1,1,1,1,0,0,0,1
1/25/18,145122.625,53.16666667,1/23/18,1/25/18,4000,344793,0,0,0,0,0,1,1,0,0,0,0
1/25/18,145122.625,53.16666667,1/23/18,1/26/18,60000,1672216,1,1,1,1,1,1,1,0,0,0,1
1/26/18,121199.811,48.64583333,1/23/18,1/26/18,60000,1672216,1,1,1,1,1,1,1,0,0,0,1
1/27/18,99553.583,49.66666667,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1/28/18,83462.807,58.33333333,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1/29/18,90752.384,58.04166667,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1/30/18,104126.322,58.20833333,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1/31/18,127824.418,57.91666667,1/31/18,2/1/18,4000,248861,0,0,0,0,0,1,1,0,0,0,0
1/31/18,127824.418,57.91666667,1/31/18,2/3/18,21000,1189936,0,1,1,1,1,0,0,0,0,0,1
2/1/18,125910.217,58.66666667,1/31/18,2/1/18,4000,248861,0,0,0,0,0,1,1,0,0,0,0
2/1/18,125910.217,58.66666667,1/31/18,2/3/18,21000,1189936,0,1,1,1,1,0,0,0,0,0,1
2/2/18,123614.402,60.33333333,2/2/18,2/3/18,5000,147357,0,0,0,0,0,1,1,0,0,0,0
2/2/18,123614.402,60.33333333,1/31/18,2/3/18,21000,1189936,0,1,1,1,1,0,0,0,0,0,1
2/3/18,120834.047,62.66666667,2/3/18,2/4/18,5000,70807,0,0,0,0,0,1,1,0,0,0,0
2/3/18,120834.047,62.66666667,2/2/18,2/3/18,5000,147357,0,0,0,0,0,1,1,0,0,0,0
2/3/18,120834.047,62.66666667,1/31/18,2/3/18,21000,1189936,0,1,1,1,1,0,0,0,0,0,1
2/4/18,86171.447,62.45833333,2/3/18,2/4/18,5000,70807,0,0,0,0,0,1,1,0,0,0,0
2/5/18,80621.817,63.3125,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2/6/18,86995.914,62.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2/7/18,93716.064,57.33333333,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2/8/18,96549.264,60.97916667,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2/9/18,106647.192,63.47916667,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2/10/18,128526.192,62.60416667,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2/11/18,138738.346,52,2/11/18,2/14/18,83000,2184344,1,1,1,1,1,1,1,0,0,0,1
2/12/18,165365.496,55.52083333,2/11/18,2/14/18,83000,2184344,1,1,1,1,1,1,1,0,0,0,1
2/13/18,160415.851,52.75694444,2/11/18,2/14/18,83000,2184344,1,1,1,1,1,1,1,0,0,0,1
2/14/18,153104.184,56.02083333,2/11/18,2/14/18,83000,2184344,1,1,1,1,1,1,1,0,0,0,1
2/15/18,97952.976,55.625,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2/16/18,82416.24,50,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2/17/18,73694.52,52.72916667,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2/18/18,68981.624,59.0625,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2/19/18,86362.084,47.10416667,2/19/18,2/19/18,2500,231483,1,1,1,0,0,0,0,0,0,0,1
2/19/18,86362.084,47.10416667,2/19/18,2/21/18,5000,241445,0,0,0,0,0,1,1,0,0,0,0
